"CAND_ID","CAND_ELECTION_YR","FEC_ELECTION_YR","CMTE_ID","CMTE_TP","CMTE_DSGN","LINKAGE_ID","robin_id","display_name","source","target","type","id","dataset","dataset_id","name"
"H0TX03096","2020","2020","C00698845","H","P","226395","158320603420584438","H0TX03096","H0TX03096","C00698845",,"226395","fec","226395","H0TX03096"
"H0TX03104","2020","2020","C00710376","H","P","228266","1583206034205630940","H0TX03104","H0TX03104","C00710376",,"228266","fec","228266","H0TX03104"
"H0TX03112","2020","2020","C00715318","H","P","228966","1583206034205495775","H0TX03112","H0TX03112","C00715318",,"228966","fec","228966","H0TX03112"
"H0TX03120","2020","2020","C00721670","H","P","229917","1583206034205132935","H0TX03120","H0TX03120","C00721670",,"229917","fec","229917","H0TX03120"
"H0TX04151","2020","2020","C00722686","H","P","230064","1583206034205504424","H0TX04151","H0TX04151","C00722686",,"230064","fec","230064","H0TX04151"
"H0TX05109","2020","2020","C00734236","H","P","231613","1583206034205814314","H0TX05109","H0TX05109","C00734236",,"231613","fec","231613","H0TX05109"
"H0TX05117","2020","2020","C00733758","H","P","231614","1583206034205104728","H0TX05117","H0TX05117","C00733758",,"231614","fec","231614","H0TX05117"
"H0TX05125","2020","2020","C00738997","H","P","232286","1583206034205191992","H0TX05125","H0TX05125","C00738997",,"232286","fec","232286","H0TX05125"
"H0TX06081","2020","2020","C00698647","H","P","226342","1583206034205606890","H0TX06081","H0TX06081","C00698647",,"226342","fec","226342","H0TX06081"
"H0TX06081","2020","2020","C00698639","H","P","226341","1583206034205858018","H0TX06081","H0TX06081","C00698639",,"226341","fec","226341","H0TX06081"
"H0TX06099","2020","2020","C00711739","H","P","228510","1583206034205960814","H0TX06099","H0TX06099","C00711739",,"228510","fec","228510","H0TX06099"
"H0TX06115","2020","2020","C00735605","H","P","231733","1583206034205711838","H0TX06115","H0TX06115","C00735605",,"231733","fec","231733","H0TX06115"
"H0TX07055","2018","2020","C00343236","H","P","222347","1583206034205381838","H0TX07055","H0TX07055","C00343236",,"222347","fec","222347","H0TX07055"
"H0TX07154","2020","2020","C00691592","H","P","223954","1583206034205946517","H0TX07154","H0TX07154","C00691592",,"223954","fec","223954","H0TX07154"
"H0TX07170","2020","2020","C00701003","H","P","226885","1583206034205595151","H0TX07170","H0TX07170","C00701003",,"226885","fec","226885","H0TX07170"
"H0TX07188","2020","2020","C00703199","H","P","227336","158320603420573042","H0TX07188","H0TX07188","C00703199",,"227336","fec","227336","H0TX07188"
"H0TX07196","2020","2020","C00711697","H","P","228527","1583206034205206010","H0TX07196","H0TX07196","C00711697",,"228527","fec","228527","H0TX07196"
"H0TX07204","2020","2020","C00715342","H","P","228967","1583206034205758206","H0TX07204","H0TX07204","C00715342",,"228967","fec","228967","H0TX07204"
"H0TX07212","2020","2020","C00724302","H","P","230273","1583206034205438919","H0TX07212","H0TX07212","C00724302",,"230273","fec","230273","H0TX07212"
"H0TX07220","2020","2020","C00733659","H","P","231495","1583206034205953861","H0TX07220","H0TX07220","C00733659",,"231495","fec","231495","H0TX07220"
"H0TX07238","2020","2020","C00733824","H","P","231615","1583206034205653708","H0TX07238","H0TX07238","C00733824",,"231615","fec","231615","H0TX07238"
"H0TX08111","2020","2020","C00707174","H","P","227878","1583206034206723082","H0TX08111","H0TX08111","C00707174",,"227878","fec","227878","H0TX08111"
"H0TX08129","2020","2020","C00731901","H","P","231329","1583206034206729790","H0TX08129","H0TX08129","C00731901",,"231329","fec","231329","H0TX08129"
"H0TX08129","2019","2020","C00731901","H","P","231225","1583206034206438140","H0TX08129","H0TX08129","C00731901",,"231225","fec","231225","H0TX08129"
"H0TX08137","2020","2020","C00733436","H","P","231496","1583206034206777602","H0TX08137","H0TX08137","C00733436",,"231496","fec","231496","H0TX08137"
"H0TX08145","2020","2020","C00721597","H","P","231527","1583206034206373196","H0TX08145","H0TX08145","C00721597",,"231527","fec","231527","H0TX08145"
"H0TX09168","2020","2020","C00683656","H","P","224555","1583206034206543213","H0TX09168","H0TX09168","C00683656",,"224555","fec","224555","H0TX09168"
"H0TX09176","2020","2020","C00706242","H","P","227732","1583206034206256656","H0TX09176","H0TX09176","C00706242",,"227732","fec","227732","H0TX09176"
"H0TX09184","2020","2020","C00709865","H","P","228206","1583206034206743888","H0TX09184","H0TX09184","C00709865",,"228206","fec","228206","H0TX09184"
